id,index,difficulty,equation1,equation2,answer
hard2_0001,1,hard,x * (y * z) = (y * w) * w,x * (y * y) = (z * w) * u,False
hard2_0002,2,hard,x = y * ((y * (y * x)) * x),x = (y * (z * y)) * (y * x),False
hard2_0003,3,hard,x * y = y * (x * (z * x)),x * y = (y * (z * x)) * y,True
hard2_0004,4,hard,x = (((y * y) * x) * x) * z,x = y * ((x * (y * z)) * w),True
hard2_0005,5,hard,x = y * ((z * (z * x)) * y),x = (x * ((x * y) * y)) * x,True
hard2_0006,6,hard,x = y * (z * (x * (x * w))),x = ((y * y) * x) * (y * y),True
hard2_0007,7,hard,x * (x * y) = (z * y) * w,x * (x * y) = y * (z * y),False
hard2_0008,8,hard,x = y * (x * (x * (z * y))),x = x * (x * ((y * y) * x)),True
hard2_0009,9,hard,x = y * ((x * z) * (z * y)),x = ((x * y) * (y * y)) * y,False
hard2_0010,10,hard,x = (x * y) * ((x * y) * y),x = (x * (x * (x * x))) * y,False
hard2_0011,11,hard,x = y * ((x * (x * y)) * y),x = (y * (z * z)) * w,False
hard2_0012,12,hard,x = y * (((z * y) * x) * z),(x * x) * y = (y * z) * z,False
hard2_0013,13,hard,x = (y * ((y * x) * x)) * y,x = x * (((x * y) * x) * z),False
hard2_0014,14,hard,x = y * ((x * (x * y)) * y),(x * y) * z = (z * y) * x,False
hard2_0015,15,hard,x * x = (y * (z * w)) * u,x * y = (z * z) * (x * y),False
hard2_0016,16,hard,x = x * (y * ((y * z) * y)),x * y = ((x * y) * x) * x,False
hard2_0017,17,hard,x = y * (x * (y * (y * z))),x = ((y * (z * w)) * z) * x,True
hard2_0018,18,hard,x = x * ((x * (y * z)) * z),x = x * (x * (y * x)),True
hard2_0019,19,hard,x = (((y * y) * z) * x) * w,x * y = ((y * x) * y) * y,True
hard2_0020,20,hard,x * (y * z) = z * (w * u),(x * y) * y = (x * z) * y,False
hard2_0021,21,hard,x * y = y * ((z * w) * x),(x * x) * y = (z * y) * x,True
hard2_0022,22,hard,x = y * (((x * y) * z) * w),x = (y * ((x * x) * y)) * x,True
hard2_0023,23,hard,x = x * (y * (x * z)),x = (x * ((y * z) * w)) * x,True
hard2_0024,24,hard,x = y * (z * (x * x)),x = y * (y * ((x * z) * x)),True
hard2_0025,25,hard,x * y = x * ((z * y) * x),x * y = x * (x * (y * y)),False
hard2_0026,26,hard,x = (((y * x) * z) * y) * x,x = ((x * x) * (y * y)) * x,True
hard2_0027,27,hard,x = y * ((z * (y * y)) * x),x = (y * z) * ((x * z) * x),False
hard2_0028,28,hard,x * y = y * ((y * z) * x),x * y = ((z * x) * y) * x,True
hard2_0029,29,hard,x * y = ((y * y) * x) * x,x * y = (x * (y * y)) * x,False
hard2_0030,30,hard,x = y * (x * ((z * z) * w)),x * y = ((y * x) * y) * y,True
hard2_0031,31,hard,x = y * ((x * (x * y)) * y),x = ((y * (z * w)) * u) * z,False
hard2_0032,32,hard,x * y = (z * (x * w)) * y,x * x = (y * (y * y)) * x,False
hard2_0033,33,hard,x = y * ((z * (x * x)) * y),x = (y * ((x * y) * z)) * z,True
hard2_0034,34,hard,x * y = (y * (x * z)) * z,x * y = y * ((z * z) * x),False
hard2_0035,35,hard,x = ((y * x) * (x * z)) * w,x = (y * (x * (y * z))) * x,True
hard2_0036,36,hard,x = (y * (z * x)) * (x * w),x = (((y * y) * y) * z) * x,True
hard2_0037,37,hard,x = (((y * z) * w) * w) * x,x = x * (((y * y) * y) * x),True
hard2_0038,38,hard,x = y * ((x * (x * y)) * y),x = y * (y * (y * (z * w))),False
hard2_0039,39,hard,x = y * ((y * (x * x)) * z),x = ((x * (y * z)) * z) * y,True
hard2_0040,40,hard,x = y * (x * ((y * z) * w)),x = x * (x * (y * x)),True
hard2_0041,41,hard,x = y * ((y * (x * y)) * x),x = (x * (y * x)) * (x * x),False
hard2_0042,42,hard,x * (y * x) = (z * w) * u,x * (y * z) = (w * x) * w,False
hard2_0043,43,hard,x = ((x * (x * y)) * y) * y,x * (y * x) = x * (y * z),False
hard2_0044,44,hard,x = (y * ((z * z) * x)) * w,x = ((x * y) * (y * z)) * z,True
hard2_0045,45,hard,x * x = ((y * z) * w) * u,x * y = x * ((x * z) * y),False
